Kanji,Furigana,Sound,Image,Meaning,Example Sentence,Example Sentence Meaning,Example Sentence Sound
実績,じっせき,sound/実績.ogg,image/実績.jpg,"Thành tích, thực tích",その新米のセールスマンが、トップの販売実績をあげたやり方は指導員の目を見はらせた。,The manner in which the new salesman made top sales level was an eye-opener to his supervisor.,sound/その新米のセールスマンが、トップの販売実績をあげたやり方は指導員の目を見はらせた.ogg
人柄,ひとがら,sound/人柄.ogg,,Nhân cách,彼女は魅力的な人柄である。,She has a magnetic personality.,sound/彼女は魅力的な人柄である.ogg
於いて,おいて,sound/於いて.ogg,image/於いて.jpg,"Ngoài ra, loại trừ ra",,,
ドーピング,ドーピング,sound/ドーピング.ogg,image/ドーピング.jpg,Dùng thuốc kích thích (trong thi đấu thể thao),,,
出場,しゅつじょう,sound/出場.ogg,image/出場.jpg,"Ra trận, ra thi đấu",２０チームがトーナメントに出場した。,Twenty teams entered the tournament.,sound/２０チームがトーナメントに出場した.ogg
封鎖,ふうさ,sound/封鎖.ogg,image/封鎖.jpg,Phong tỏa,この港は封鎖されうる。,The harbor can be blocked.,sound/この港は封鎖されうる.ogg
被災,ひさい,sound/被災.ogg,image/被災.jpg,"Bị thiên tai, bị tai họa",,,
無実,むじつ,sound/無実.ogg,image/無実.jpg,Vô tội,私たちは彼が無実であると信じていた。,We believed him to be innocent.,sound/私たちは彼が無実であると信じていた.ogg
捜査,そうさ,sound/捜査.ogg,image/捜査.jpg,Điều tra,警察は事件の捜査をした。,The police looked into that incident.,sound/警察は事件の捜査をした.ogg
認める,みとめる,sound/認める.ogg,image/認める.jpg,"Công nhận, chấp nhận",我々は彼の才能を認めている。,We appreciate his talent.,sound/我々は彼の才能を認めている.ogg
失格,しっかく,sound/失格.ogg,,Mất tư cách,彼女は２度のフライングで失格した。,She was disqualified from the race for two false starts.,sound/彼女は２度のフライングで失格した.ogg
下地,したじ,sound/下地.ogg,image/下地.jpg,"Nền tảng, cơ sở hạ tầng",,,
国籍,こくせき,sound/国籍.ogg,image/国籍.jpg,Quốc tịch,我々の真の国籍は人類である。,Our true nationality is mankind.,sound/我々の真の国籍は人類である.ogg
有権者,ゆうけんしゃ,sound/有権者.ogg,image/有権者.jpg,"Người có quyền, cử tri",その有権者はメアリー・ジョンソンさんで、民主党員であることが後になってわかりました。,"That voter, Mary Johnson, turned out to be a Democrat.",sound/その有権者はメアリー・ジョンソンさんで、民主党員であることが後になってわかりました.ogg
合唱,がっしょう,sound/合唱.ogg,image/合唱.jpg,Hợp xướng,パーティーは合唱で終わった。,The party ended up with a chorus.,sound/パーティーは合唱で終わった.ogg
空き巣,あきす,sound/空き巣.ogg,image/空き巣.jpg,Ăn trộm lúc vắng nhà,空巣にやられた。,Our house was robbed while we were away.,sound/空巣にやられた.ogg
防犯,ぼうはん,sound/防犯.ogg,image/防犯.jpg,Phòng ngừa tội phạm,,,
パトロール,パトロール,sound/パトロール.ogg,image/パトロール.jpg,Xe cảnh sát đi tuần,１０人の警官がその地域のパトロールについた。,Ten policemen were assigned to patrol that area.,sound/１０人の警官がその地域のパトロールについた.ogg
如何,いかが,sound/如何.ogg,image/如何.jpg,Tùy thuộc vào,コンタクトを入れるというのはいかがでしょう？,How about wearing contact lenses?,sound/コンタクトを入れるというのはいかがでしょう？.ogg
いかにも,いかにも,sound/いかにも.ogg,,… gì đi nữa thì cũng…,こんな格好をしているといかにもスポーツしてそうに見えるけど、全然やってないんだよ。,"I look for all the world like an athlete in this outfit, but the truth is I don't do any sports at all.",sound/こんな格好をしているといかにもスポーツしてそうに見えるけど、全然やってないんだよ.ogg
あやふや,あやふや,sound/あやふや.ogg,,"mơ hồ, không rõ ràng, không chắc chắn",あやふやな手つきで一枚の紙を動かした。,She fumbled with a piece of paper.,sound/あやふやな手つきで一枚の紙を動かした.ogg
提携,ていけい,sound/提携.ogg,image/提携.jpg,"Liên kết, hợp tác",うちの会社はあの合弁会社と提携している。,We are affiliated with the new joint venture company.,sound/うちの会社はあの合弁会社と提携している.ogg
医療,いりょう,sound/医療.ogg,image/医療.jpg,"Y học, y dược",彼は医療に一生を捧げた。,He dedicated his life to medical work.,sound/彼は医療に一生を捧げた.ogg
事情,じじょう,sound/事情.ogg,image/事情.jpg,Sự tình,そこに行くかもしれないが、それは事情次第だ。,"I may go there, but that depends.",sound/そこに行くかもしれないが、それは事情次第だ.ogg
