Kanji,Furigana,Sound,Image,Meaning,Example Sentence,Example Sentence Mean Vietnamese,Example Sentence Mean English,Example Sentence Sound,Hanviet
知名度,ちめいど,[sound:知名度.ogg],"<img src=""知名度.jpg"">",mức độ nổi danh,,,,,TRI DANH ĐỘ
折り入って,おりいって,[sound:折り入って.ogg],,thật lòng là…,折り入って頼みたいことがある。,Tôi có một việc quan trọng muốn nhờ bạn.,I want to ask you a big favor.,[sound:折り入って頼みたいことがある.ogg],TRIẾT NHẬP
エレガンス,エレガンス,[sound:エレガンス.ogg],"<img src=""エレガンス.jpg"">","vẻ tao nhã, nét thanh lịch",,,,,
極まる,きわまる,[sound:極まる.ogg],,"cực độ, tột cùng",下品極まる盛り場に通いつける。,Anh ta thường đến những nơi tệ hại nhất.,He haunts the lowest resorts.,[sound:下品極まる盛り場に通いつける.ogg],CỰC
優美,ゆうび,[sound:優美.ogg],"<img src=""優美.jpg"">","tao nhã, ưu mỹ",大部分ではないにしても多くの人々が文学的趣味を優美なたしなみと見なしている。,"Mặc dù không phải là phần lớn, nhiều người coi sở thích văn học như một điều tao nhã và tuyệt vời.","Many people, if not most, look on literary taste as an elegant accomplishment.",[sound:大部分ではないにしても多くの人々が文学的趣味を優美なたしなみと見なしている.ogg], MỸ
キャッチコピー,キャッチコピー,[sound:キャッチコピー.ogg],"<img src=""キャッチコピー.jpg"">","hiệu, khẩu hiệu quảng cáo",,,,,
曲線,きょくせん,[sound:曲線.ogg],"<img src=""曲線.jpg"">",đường cong,,,,,KHÚC TUYẾN
反響,はんきょう,[sound:反響.ogg],"<img src=""反響.jpg"">",tiếng vang,その部屋に彼の声が反響した。,Tiếng anh ta vang lên trong căn phòng đó.,The room echoes with his voice.,[sound:その部屋に彼の声が反響した.ogg],PHẢN 
痛恨,つうこん,[sound:痛恨.ogg],,thật sự đáng tiếc,,,,,THỐNG HẬN
疲労,ひろう,[sound:疲労.ogg],"<img src=""疲労.jpg"">","mệt mỏi, mệt nhọc",疲労が彼の健康をむしばんでいる。,Sự mệt mỏi đang làm suy yếu sức khỏe của anh ta.,Fatigue is undermining his health.,[sound:疲労が彼の健康をむしばんでいる.ogg],"BÍ LAO,LẠO"
遺憾,いかん,[sound:遺憾.ogg],"<img src=""遺憾.jpg"">","đáng tiếc, hối tiếc",それは遺憾ながら本当だ。,Đáng tiếc rằng điều đó là thật.,"That, while regrettable, is true.",[sound:それは遺憾ながら本当だ.ogg], 
物種,ものだね,[sound:物種.ogg],,"khởi nguồn (của sự vật, sự việc)",命あっての物種。,Còn sống là còn hy vọng.,"While there is life, there is hope.",[sound:命あっての物種.ogg],VẬT CHỦNG
赤面,せきめん,[sound:赤面.ogg],"<img src=""赤面.jpg"">",đỏ mặt (vì xấu hổ),君の行いには赤面する。,Tôi xấu hổ về hành động của bạn.,I am ashamed of your conduct.,[sound:君の行いには赤面する.ogg],XÍCH DIỆN
呑気,のんき,[sound:呑気.ogg],"<img src=""呑気.jpg"">","vô lo, vô tư",お前は当事者じゃないから、そんなのんきなこと言ってられるんだよ。,"Bạn không phải là người liên quan, nên bạn mới nói những điều vô tư như vậy được.",You wouldn't be so casual about it if you were directly involved.,[sound:お前は当事者じゃないから、そんなのんきなこと言ってられるんだよ.ogg],THÔN KHÍ
光栄,こうえい,[sound:光栄.ogg],"<img src=""光栄.jpg"">",vinh dự,あなたにお会いできて光栄です。,Rất vinh dự được gặp bạn.,It is a privilege to meet you.,[sound:あなたにお会いできて光栄です.ogg], VINH
値する,あたいする,[sound:値する.ogg],,"có giá trị, đáng giá",あの博物館はくるに値する。,Bảo tàng đó đáng để tham quan.,That museum is worth visiting.,[sound:あの博物館はくるに値する.ogg],TRỊ
汗顔,かんがん,[sound:汗顔.ogg],"<img src=""汗顔.jpg"">",mặt đổ cả mồ hôi (vì xấu hổ),,,,,HÃN NHAN
鑑賞,かんしょう,[sound:鑑賞.ogg],"<img src=""鑑賞.jpg"">",thưởng thức,よい音楽を鑑賞することはそれほど難しいことではない。,Việc thưởng thức âm nhạc tốt không phải là điều khó khăn.,It is not so difficult to appreciate good music.,[sound:よい音楽を鑑賞することはそれほど難しいことではない.ogg],GIÁM 
傾聴,けいちょう,[sound:傾聴.ogg],,lắng nghe,彼らは１語も聞きもらすまいと傾聴した。,Họ lắng nghe mà không bỏ lỡ một từ nào.,They listened attentively so as not to miss a single word.,[sound:彼らは１語も聞きもらすまいと傾聴した.ogg],KHUYNH THÍNH
念,ねん,[sound:念.ogg],"<img src=""念.jpg"">","niệm, tâm niệm",その光景を見て私は驚異の念にうたれた。,Tôi đã bị kinh ngạc khi nhìn thấy cảnh đó.,The sight struck me with wonder.,[sound:その光景を見て私は驚異の念にうたれた.ogg],NIỆM
皮切り,かわきり,[sound:皮切り.ogg],,"bắt đầu từ…, lấy (cái gì đó) làm đầu tiên",それを皮切りとして欧州の詩や文学を多数紹介するようになりました。,"Từ đó, tôi đã bắt đầu giới thiệu nhiều thơ và văn học châu Âu.",With that as a start many European poems and much literature came to be introduced.,[sound:それを皮切りとして欧州の詩や文学を多数紹介するようになりました.ogg],BÌ THIẾT
学級委員,がっきゅういいん,[sound:学級委員.ogg],,ủy viên của lớp,,,,,HỌC CẤP ỦY VIÊN
エピソード,エピソード,[sound:エピソード.ogg],"<img src=""エピソード.jpg"">","chương, hồi (của tiểu thuyết, kịch v.v…)",その痛ましいエピソードは私には痛切に感じられた。,Câu chuyện đau lòng đó đã khiến tôi cảm thấy đau đớn.,The touching episode came home to me.,[sound:その痛ましいエピソードは私には痛切に感じられた.ogg],
使い込む,つかいこむ,[sound:使い込む.ogg],,"tham ô, chiếm đoạt (tiền của người khác)",彼は私の資金をすっかり使い込んでしまった。,Anh ta đã sử dụng toàn bộ số tiền của tôi.,He has really made a hole in my finances.,[sound:彼は私の資金をすっかり使い込んでしまった.ogg], NHẬP
知事,ちじ,[sound:知事.ogg],"<img src=""知事.jpg"">","chủ tịch tỉnh, thống đốc",州知事は囚人達を自由の身にした。,Thống đốc đã giải phóng các tù nhân.,The governor set the prisoners free.,[sound:州知事は囚人達を自由の身にした.ogg],TRI 
公費,こうひ,[sound:公費.ogg],"<img src=""公費.jpg"">",tiền công vụ,,,,,CÔNG PHÍ
私費,しひ,[sound:私費.ogg],"<img src=""私費.jpg"">","tiền tư, tiền của cá nhân",,,,,TƯ PHÍ
